host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_has_profile_pic,host_identity_verified,latitude,longitude,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,availability_30,availability_365,number_of_reviews,availability_eoy,estimated_occupancy_l365d,estimated_revenue_l365d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,reviews_per_month,n_amenities,n_verifications,property_type_clean,host_years,neighbourhood_cleansed_freq,room_type_Hotel room,room_type_Private room,room_type_Shared room,neighbourhood_group_cleansed_Eixample,neighbourhood_group_cleansed_Gràcia,neighbourhood_group_cleansed_Horta-Guinardó,neighbourhood_group_cleansed_Les Corts,neighbourhood_group_cleansed_Nou Barris,neighbourhood_group_cleansed_Sant Andreu,neighbourhood_group_cleansed_Sant Martí,neighbourhood_group_cleansed_Sants-Montjuïc,neighbourhood_group_cleansed_Sarrià-Sant Gervasi
1.0,100.0,97.0,1.0,1.0,1.0,41.40661,2.15115,3.0,1.0,1.0,2.0,41.0,31,300,5,89,364,35,186,7626.0,4.54,4.59,4.71,4.84,4.82,4.71,4.52,0,3,2.18,23,2,Entire rental unit,14.509589041095891,0.05852653271509531,0,0,0,0,1,0,0,0,0,0,0,0
0.0,100.0,100.0,1.0,1.0,1.0,41.39877,2.15887,4.0,1.0,2.0,2.0,191.0,4,180,3,260,321,41,255,48705.0,4.75,4.82,4.79,4.79,4.84,4.91,4.73,1,3,1.91,36,3,Entire rental unit,14.265753424657534,0.05852653271509531,0,0,0,0,1,0,0,0,0,0,0,0
0.0,100.0,100.0,1.0,1.0,1.0,41.3724,2.1648,2.0,1.0,1.0,1.0,156.0,3,365,0,27,181,0,96,14976.0,4.9,4.94,4.87,4.94,4.99,4.89,4.81,0,1,1.07,28,3,Entire rental unit,14.265753424657534,0.04404945904173107,0,0,0,0,0,0,0,0,0,0,1,0
0.0,100.0,100.0,1.0,1.0,1.0,41.398,2.1553,4.0,1.0,2.0,3.0,129.0,2,120,5,220,374,38,60,7740.0,4.8,4.84,4.76,4.97,4.98,4.92,4.76,0,1,2.42,55,2,Entire rental unit,14.252054794520548,0.05852653271509531,0,0,0,0,1,0,0,0,0,0,0,0
0.0,100.0,100.0,1.0,1.0,1.0,41.39970016479492,2.1748878955841064,3.0,1.0,1.0,2.0,236.0,7,30,0,219,136,57,255,60180.0,4.73,4.84,4.75,4.82,4.88,4.86,4.49,0,1,1.35,53,2,Entire rental unit,14.167123287671233,0.02581143740340031,0,0,0,1,0,0,0,0,0,0,0,0
0.0,100.0,94.0,1.0,1.0,1.0,41.37918,2.17733,4.0,2.0,2.0,2.0,101.0,31,320,30,365,60,108,255,25755.0,4.8,4.85,4.81,4.88,4.92,4.86,4.71,0,1,0.36,50,2,Entire rental unit,14.191780821917808,0.06455435342606904,0,0,0,0,0,0,0,0,0,0,0,0
1.0,92.0,44.0,0.0,1.0,1.0,41.38113,2.18897,4.0,1.0,3.0,4.0,92.0,60,1125,0,184,5,17,0,0.0,4.33,4.0,3.2,4.25,4.4,5.0,4.0,0,19,0.03,18,2,Entire rental unit,6.1726027397260275,0.02622359608449253,0,0,0,0,0,0,0,0,0,0,0,0
0.0,99.0,94.0,1.0,1.0,0.0,41.41626,2.20149,6.0,1.0,3.0,3.0,257.0,2,400,17,86,144,82,24,6168.0,4.54,4.49,4.67,4.87,4.82,4.45,4.39,0,6,0.87,26,2,Entire rental unit,14.12054794520548,0.0034003091190108192,0,0,0,0,0,0,0,0,0,1,0,0
1.0,100.0,80.0,0.0,1.0,1.0,41.3817,2.17195,4.0,1.0,1.0,2.0,50.0,32,330,0,289,27,32,0,0.0,4.35,4.15,4.07,4.52,4.63,4.7,4.11,0,47,0.16,16,3,Entire rental unit,14.112328767123287,0.07825862957238537,0,0,0,0,0,0,0,0,0,0,0,0
0.0,100.0,90.0,0.0,1.0,1.0,41.413368225097656,2.138876914978028,1.0,1.0,1.0,1.0,30.0,31,1125,10,71,75,40,186,5580.0,4.81,4.81,4.61,4.92,4.87,4.76,4.86,0,2,0.46,44,2,Private room in rental unit,14.084931506849315,0.004842864502833591,0,1,0,0,1,0,0,0,0,0,0,0
